atom,dimer,model,C6_model,C6_ref,reference_label,source,error_pct
Zn,Zn2,psp,244.46353337,225.0,Group XII present calculation,arXiv:2201.07145 Table 3,8.650459275555553
Zn,Zn2,psp,244.46353337,257.5,Group XII measurement,arXiv:2201.07145 Table 3 citing Goebel/Hohm,-5.0627054873786435
Zn,Zn2,psp,244.46353337,276.0,Benchmark atom data,arXiv:1604.02751 Table 2,-11.42625602536232
Zn,Zn2,psp,244.46353337,359.0,CCSD(T)/QDO table reference,arXiv:2104.13335 Table I / QDO reference table,-31.904308253481897
Zn,Zn2,psp_plus_sternheimer,320.6189052,225.0,Group XII present calculation,arXiv:2201.07145 Table 3,42.497291199999985
Zn,Zn2,psp_plus_sternheimer,320.6189052,257.5,Group XII measurement,arXiv:2201.07145 Table 3 citing Goebel/Hohm,24.512196194174745
Zn,Zn2,psp_plus_sternheimer,320.6189052,276.0,Benchmark atom data,arXiv:1604.02751 Table 2,16.16626999999999
Zn,Zn2,psp_plus_sternheimer,320.6189052,359.0,CCSD(T)/QDO table reference,arXiv:2104.13335 Table I / QDO reference table,-10.691112757660175
Cd,Cd2,psp,271.0878142,493.0,Group XII present calculation,arXiv:2201.07145 Table 3,-45.01261375253549
Cd,Cd2,psp,271.0878142,466.0,Group XII measurement,arXiv:2201.07145 Table 3 citing Goebel et al.,-41.82664931330471
Cd,Cd2,psp,271.0878142,686.0,CCSD(T)/QDO table reference,arXiv:2104.13335 Table I / QDO reference table,-60.48282591836735
Cd,Cd2,psp_plus_sternheimer,397.20768815,493.0,Group XII present calculation,arXiv:2201.07145 Table 3,-19.43048921906693
Cd,Cd2,psp_plus_sternheimer,397.20768815,466.0,Group XII measurement,arXiv:2201.07145 Table 3 citing Goebel et al.,-14.762298680257507
Cd,Cd2,psp_plus_sternheimer,397.20768815,686.0,CCSD(T)/QDO table reference,arXiv:2104.13335 Table I / QDO reference table,-42.09800464285714
